amount,distance_from_home,merchant_category,transaction_type,card_type,is_fraud
98.00,7.9,online_services,online_checkout,visa,0
4600.00,1280.0,travel,international_online,visa,1
41.00,3.5,grocery,in_store_chip,mastercard,0
21.00,1.9,grocery,in_store_chip,visa,0
105.00,9.8,electronics,in_store_chip,visa,0
3300.00,560.0,electronics,international_online,mastercard,1
4.90,0.5,grocery,in_store_chip,amex,0
340.00,24.1,travel,online_checkout,visa,0
3700.00,840.0,travel,international_online,visa,1
15.50,1.4,entertainment,in_store_chip,mastercard,0
135.00,11.9,online_services,online_checkout,visa,0
2.40,590.0,online_services,international_online,visa,1
68.00,5.8,grocery,in_store_chip,mastercard,0
29.50,2.1,grocery,in_store_chip,visa,0
84.00,7.6,entertainment,online_checkout,mastercard,0
1750.00,310.0,electronics,international_online,visa,1
12.10,1.0,grocery,in_store_chip,visa,0
180.00,14.1,travel,online_checkout,amex,0
2500.00,690.0,electronics,international_online,mastercard,1
1.80,0.3,grocery,in_store_chip,mastercard,0
89.00,6.8,online_services,online_checkout,visa,0
4900.00,1400.0,travel,international_online,visa,1
36.50,3.1,grocery,in_store_chip,mastercard,0
27.00,2.3,grocery,in_store_chip,visa,0
140.00,11.5,electronics,in_store_chip,visa,0
3500.00,610.0,electronics,international_online,mastercard,1
7.10,0.8,grocery,in_store_chip,amex,0
290.00,20.2,travel,online_checkout,visa,0
4300.00,960.0,travel,international_online,visa,1
19.10,1.9,entertainment,in_store_chip,mastercard,0
175.00,14.6,online_services,online_checkout,visa,0
1.90,750.0,online_services,international_online,visa,1
88.00,7.2,grocery,in_store_chip,mastercard,0
23.80,1.5,grocery,in_store_chip,visa,0
96.00,9.1,entertainment,online_checkout,mastercard,0
2100.00,380.0,electronics,international_online,visa,1
14.90,1.2,grocery,in_store_chip,visa,0
230.00,17.8,travel,online_checkout,amex,0
2900.00,780.0,electronics,international_online,mastercard,1
1.30,0.5,grocery,in_store_chip,mastercard,0
102.00,8.3,online_services,online_checkout,visa,0
4400.00,1180.0,travel,international_online,visa,1
45.00,3.9,grocery,in_store_chip,mastercard,0
17.80,1.6,grocery,in_store_chip,visa,0
115.00,10.1,electronics,in_store_chip,visa,0
3200.00,540.0,electronics,international_online,mastercard,1
5.80,0.7,grocery,in_store_chip,amex,0
320.00,22.8,travel,online_checkout,visa,0
3800.00,870.0,travel,international_online,visa,1
14.20,1.3,entertainment,in_store_chip,mastercard,0
150.00,12.8,online_services,online_checkout,visa,0
2.80,640.0,online_services,international_online,visa,1
72.00,6.1,grocery,in_store_chip,mastercard,0
25.20,1.8,grocery,in_store_chip,visa,0
89.00,8.1,entertainment,online_checkout,mastercard,0
1850.00,330.0,electronics,international_online,visa,1
11.90,0.9,grocery,in_store_chip,visa,0
195.00,15.8,travel,online_checkout,amex,0
2600.00,710.0,electronics,international_online,mastercard,1
1.60,0.4,grocery,in_store_chip,mastercard,0
94.00,7.4,online_services,online_checkout,visa,0
4700.00,1310.0,travel,international_online,visa,1
39.80,3.4,grocery,in_store_chip,mastercard,0
22.10,1.7,grocery,in_store_chip,visa,0
125.00,10.6,electronics,in_store_chip,visa,0
3400.00,580.0,electronics,international_online,mastercard,1
6.20,0.8,grocery,in_store_chip,amex,0
305.00,21.4,travel,online_checkout,visa,0
4000.00,910.0,travel,international_online,visa,1
17.50,1.6,entertainment,in_store_chip,mastercard,0
165.00,13.9,online_services,online_checkout,visa,0
1.70,720.0,online_services,international_online,visa,1
85.00,6.8,grocery,in_store_chip,mastercard,0
28.40,2.0,grocery,in_store_chip,visa,0
91.00,8.5,entertainment,online_checkout,mastercard,0
2000.00,360.0,electronics,international_online,visa,1
13.20,1.1,grocery,in_store_chip,visa,0
215.00,16.9,travel,online_checkout,amex,0
2800.00,750.0,electronics,international_online,mastercard,1
1.20,0.3,grocery,in_store_chip,mastercard,0
99.00,8.0,online_services,online_checkout,visa,0
4500.00,1230.0,travel,international_online,visa,1
43.20,3.7,grocery,in_store_chip,mastercard,0
18.50,1.5,grocery,in_store_chip,visa,0
118.00,10.2,electronics,in_store_chip,visa,0
3600.00,630.0,electronics,international_online,mastercard,1
5.10,0.6,grocery,in_store_chip,amex,0
330.00,23.5,travel,online_checkout,visa,0
3600.00,820.0,travel,international_online,visa,1
16.20,1.5,entertainment,in_store_chip,mastercard,0
140.00,12.1,online_services,online_checkout,visa,0
2.20,610.0,online_services,international_online,visa,1
65.00,5.5,grocery,in_store_chip,mastercard,0
31.00,2.2,grocery,in_store_chip,visa,0
82.00,7.3,entertainment,online_checkout,mastercard,0
1600.00,280.0,electronics,international_online,visa,1
10.80,0.8,grocery,in_store_chip,visa,0
170.00,13.5,travel,online_checkout,amex,0
2300.00,660.0,electronics,international_online,mastercard,1
1.70,0.4,grocery,in_store_chip,mastercard,0
86.00,6.5,online_services,online_checkout,visa,0
5000.00,1450.0,travel,international_online,visa,1
35.00,3.0,grocery,in_store_chip,mastercard,0
28.50,2.4,grocery,in_store_chip,visa,0
145.00,11.8,electronics,in_store_chip,visa,0
3700.00,650.0,electronics,international_online,mastercard,1
7.50,0.9,grocery,in_store_chip,amex,0
300.00,20.8,travel,online_checkout,visa,0
4200.00,940.0,travel,international_online,visa,1
20.00,2.0,entertainment,in_store_chip,mastercard,0
180.00,15.0,online_services,online_checkout,visa,0
2.00,780.0,online_services,international_online,visa,1
90.00,7.5,grocery,in_store_chip,mastercard,0
24.80,1.6,grocery,in_store_chip,visa,0
98.00,9.3,entertainment,online_checkout,mastercard,0
2200.00,400.0,electronics,international_online,visa,1
15.80,1.3,grocery,in_store_chip,visa,0
240.00,18.5,travel,online_checkout,amex,0
3000.00,800.0,electronics,international_online,mastercard,1
1.40,0.6,grocery,in_store_chip,mastercard,0
105.00,8.6,online_services,online_checkout,visa,0
4300.00,1150.0,travel,international_online,visa,1
46.20,4.0,grocery,in_store_chip,mastercard,0
16.50,1.3,grocery,in_store_chip,visa,0
52.00,4.1,grocery,in_store_chip,mastercard,0
112.50,11.2,electronics,online_checkout,visa,0
1420.00,510.0,electronics,international_online,visa,1
3.10,0.4,grocery,in_store_chip,amex,0
3800.00,710.0,travel,international_online,mastercard,1
18.50,2.5,entertainment,in_store_chip,visa,0
2450.00,12.8,electronics,online_checkout,mastercard,0
1.80,910.0,grocery,international_online,visa,1
61.20,5.3,grocery,in_store_chip,visa,0
21.40,1.4,grocery,in_store_chip,mastercard,0
520.00,280.0,travel,online_checkout,amex,0
5400.00,1020.0,electronics,international_online,visa,1
35.80,2.9,entertainment,in_store_chip,visa,0
135.00,9.2,online_services,online_checkout,mastercard,0
4800.00,1290.0,travel,international_online,mastercard,1
9.20,0.9,grocery,in_store_chip,visa,0
175.00,15.8,electronics,in_store_chip,amex,0
4.10,610.0,online_services,international_online,mastercard,1
68.50,5.6,grocery,in_store_chip,visa,0
31.20,2.1,grocery,in_store_chip,mastercard,0
102.00,11.4,entertainment,online_checkout,visa,0
1950.00,340.0,electronics,international_online,amex,1
16.80,1.7,grocery,in_store_chip,visa,0
245.00,19.2,travel,online_checkout,mastercard,0
3100.00,810.0,electronics,international_online,visa,1
1.90,0.4,grocery,in_store_chip,mastercard,0
91.00,8.2,online_services,online_checkout,visa,0
4500.00,1180.0,travel,international_online,visa,1
46.80,4.1,grocery,in_store_chip,mastercard,0
22.10,2.3,grocery,in_store_chip,visa,0
122.00,10.1,electronics,in_store_chip,visa,0
3150.00,510.0,electronics,international_online,mastercard,1
6.10,0.7,grocery,in_store_chip,amex,0
335.00,23.4,travel,online_checkout,visa,0
4150.00,920.0,travel,international_online,visa,1
18.90,2.1,entertainment,in_store_chip,mastercard,0
155.00,13.8,online_services,online_checkout,visa,0
2.60,680.0,online_services,international_online,visa,1
81.00,6.7,grocery,in_store_chip,mastercard,0
24.80,1.6,grocery,in_store_chip,visa,0
94.00,8.6,entertainment,online_checkout,mastercard,0
1720.00,310.0,electronics,international_online,visa,1
12.80,1.3,grocery,in_store_chip,visa,0
205.00,16.4,travel,online_checkout,amex,0
2650.00,710.0,electronics,international_online,mastercard,1
1.20,0.3,grocery,in_store_chip,mastercard,0
98.00,7.8,online_services,online_checkout,visa,0
5100.00,1420.0,travel,international_online,visa,1
41.20,3.6,grocery,in_store_chip,mastercard,0
27.10,2.5,grocery,in_store_chip,visa,0
142.00,12.1,electronics,in_store_chip,visa,0
3350.00,570.0,electronics,international_online,mastercard,1
7.20,1.0,grocery,in_store_chip,amex,0
295.00,21.1,travel,online_checkout,visa,0
4350.00,980.0,travel,international_online,visa,1
19.80,1.9,entertainment,in_store_chip,mastercard,0
172.00,14.2,online_services,online_checkout,visa,0
2.10,740.0,online_services,international_online,visa,1
86.40,7.1,grocery,in_store_chip,mastercard,0
28.20,1.8,grocery,in_store_chip,visa,0
99.00,9.2,entertainment,online_checkout,mastercard,0
2150.00,360.0,electronics,international_online,visa,1
15.20,1.4,grocery,in_store_chip,visa,0
225.00,17.2,travel,online_checkout,amex,0
2850.00,760.0,electronics,international_online,mastercard,1
1.40,0.5,grocery,in_store_chip,mastercard,0
104.00,8.1,online_services,online_checkout,visa,0
4750.00,1290.0,travel,international_online,visa,1
43.50,3.8,grocery,in_store_chip,mastercard,0
19.20,1.7,grocery,in_store_chip,visa,0
118.00,10.5,electronics,in_store_chip,visa,0
3450.00,590.0,electronics,international_online,mastercard,1
5.40,0.6,grocery,in_store_chip,amex,0
315.00,23.1,travel,online_checkout,visa,0
3950.00,890.0,travel,international_online,visa,1
16.10,1.5,entertainment,in_store_chip,mastercard,0
158.00,13.2,online_services,online_checkout,visa,0
2.90,670.0,online_services,international_online,visa,1
76.50,6.4,grocery,in_store_chip,mastercard,0
27.80,1.9,grocery,in_store_chip,visa,0
93.50,8.4,entertainment,online_checkout,mastercard,0
1920.00,340.0,electronics,international_online,visa,1
12.90,1.0,grocery,in_store_chip,visa,0
210.00,16.2,travel,online_checkout,amex,0
2750.00,730.0,electronics,international_online,mastercard,1
1.80,0.5,grocery,in_store_chip,mastercard,0
98.50,7.9,online_services,online_checkout,visa,0
4850.00,1340.0,travel,international_online,visa,1
41.80,3.6,grocery,in_store_chip,mastercard,0
24.10,1.9,grocery,in_store_chip,visa,0
132.00,11.1,electronics,in_store_chip,visa,0
3550.00,610.0,electronics,international_online,mastercard,1
6.80,0.8,grocery,in_store_chip,amex,0
325.00,22.4,travel,online_checkout,visa,0
4150.00,930.0,travel,international_online,visa,1
18.10,1.7,entertainment,in_store_chip,mastercard,0
172.00,14.1,online_services,online_checkout,visa,0
2.40,730.0,online_services,international_online,visa,1
89.00,7.1,grocery,in_store_chip,mastercard,0
